Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33983-18393:T.J. McConnell,33983-18393,PG,T.J.,McConnell,16.849275008491848,69,3500,PHI@MIN,PHI,MIN,,,,,,8.099999999999998,13.6,14.8,0.8627404920057156,11.8,11.9,13.4,T.J. McConnell,7.485602861050886
33983-84696:Jevon Carter,33983-84696,PG,Jevon,Carter,9.699999809265137,32,3500,MEM@PHO,MEM,PHO,,,,,,8.559999999999999,4.5,16.4,0.012963993429158431,10.4,5.75,0.0,Jevon Carter,5.694564275064083
33983-85467:Yante Maten,33983-85467,PF,Yante,Maten,0.0,0,3500,MIA@NY,MIA,NYK,,,,,,-1000.0,-1000.0,-1000.0,0.8659640099819931,-1000.0,,-189238.0,Yante Maten,
33983-16859:Lance Thomas,33983-16859,SF,Lance,Thomas,9.123809814453123,42,3500,MIA@NY,NYK,MIA,,,,,,4.4399999999999995,6.3,12.9,0.10268166989249719,13.6,6.2,7.6,Lance Thomas,5.034270819161358
33983-84703:De'Anthony Melton,33983-84703,PG,De'Anthony,Melton,16.695555284288194,45,3500,MEM@PHO,PHO,MEM,,,,,,15.14,9.9,15.1,0.274638811751623,19.8,17.35,18.3,De'Anthony Melton,7.537436921226166
33983-23780:Jake Layman,33983-23780,SF,Jake,Layman,14.28125,64,3500,POR@DET,POR,DET,,,,,,9.059999999999999,13.6,15.9,0.07187651678289322,16.6,15.9,15.8,Jake Layman,6.921736560107803
33983-17384:Kyle O'Quinn,33983-17384,C,Kyle,O'Quinn,10.073809669131323,42,3500,ORL@IND,IND,ORL,,,,,,16.2,16.2,19.9,0.3789028591975185,10.8,17.8,3.5,Kyle O'Quinn,7.7483773161788125
33983-84713:Svi Mykhailiuk,33983-84713,SG,Svi,Mykhailiuk,6.088095165434338,42,3500,POR@DET,DET,POR,,,,,,3.9200000000000004,-1000.0,-1000.0,0.6108844932212483,8.4,6.0,-189238.0,Svi Mykhailiuk,-248.24575592244557
33983-84717:Anfernee Simons,33983-84717,SG,Anfernee,Simons,2.4352942074046418,17,3500,POR@DET,POR,DET,,,,,,1.0,-4.5,24.0,0.13093855268365373,3.0,2.0,0.8,Anfernee Simons,6.4814238251439305
33983-9454:Zaza Pachulia,33983-9454,C,Zaza,Pachulia,12.303225609564011,62,3500,POR@DET,DET,POR,,,,,,8.16,14.4,14.9,0.05714310375826896,7.0,7.9,8.8,Zaza Pachulia,5.556933232507627
33983-84718:Alize Johnson,33983-84718,PF,Alize,Johnson,1.5500000317891438,12,3500,ORL@IND,IND,ORL,,,,,,0.8400000000000001,-0.5,16.1,0.14859929114980075,1.8,1.2,0.0,Alize Johnson,4.324154853193109
33983-9712:Jose Calderon,33983-9712,PG,Jose,Calderon,7.90625,48,3500,POR@DET,DET,POR,,,,,,3.6,7.2,10.9,0.5808015906524132,4.4,4.85,0.3,Jose Calderon,4.126791492412286
33983-9968:Jodie Meeks,33983-9968,SG,Jodie,Meeks,9.5,4,3500,TOR@CHI,TOR,CHI,,,,,,-1000.0,15.8,23.2,0.6156049283285292,6.0,,10.4,Jodie Meeks,
33983-16368:Mike Scott,33983-16368,PF,Mike,Scott,11.864383227204625,73,3500,PHI@MIN,PHI,MIN,,,,,,12.360000000000001,8.4,14.9,0.8962848670194341,21.6,15.05,17.3,Mike Scott,8.761178002777346
33983-84720:Melvin Frazier,33983-84720,SF,Melvin,Frazier,2.5,9,3500,ORL@IND,ORL,IND,,,,,,2.42,2.4,21.7,0.5862531305964688,3.6,3.45,0.0,Melvin Frazier,6.211290988516435
33983-84723:Khyri Thomas,33983-84723,SG,Khyri,Thomas,5.375,24,3500,POR@DET,DET,POR,,,,,,5.8999999999999995,7.3,16.9,0.6108844932212483,5.4,7.45,0.1,Khyri Thomas,5.699050618374813
33983-84726:Ray Spalding,33983-84726,PF,Ray,Spalding,5.9124999046325675,8,3500,MEM@PHO,PHO,MEM,,,,,,8.419999999999998,10.5,15.3,0.06058197967849641,8.0,10.25,3.5,Ray Spalding,5.31828024878405
33983-85238:Yuta Watanabe,33983-85238,SF,Yuta,Watanabe,5.8181818181818175,11,3500,MEM@PHO,MEM,PHO,,,,,,7.44,5.7,16.3,0.24768972583153015,14.8,9.8,0.7,Yuta Watanabe,6.093932438800255
33983-23800:Glenn Robinson,33983-23800,SF,Glenn,Robinson,7.2547621954055055,42,3500,POR@DET,DET,POR,,,,,,7.779999999999999,8.0,15.3,0.31260783938028364,11.4,11.65,0.1,Glenn Robinson,5.943348855324968
33983-85242:Rawle Alkins,33983-85242,SG,Rawle,Alkins,4.175000190734863,4,3500,TOR@CHI,CHI,TOR,,,,,,2.7,37.9,29.2,0.4366497743050642,-1000.0,4.050000000000001,12.8,Rawle Alkins,-74.65746127787042
