Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33857-48598:Semi Ojeleye,33857-48598,SF,Semi,Ojeleye,6.005882113587623,51,3500,BOS@CLE,BOS,CLE,,,,,,5.299999999999999,8.6,13.4,0.3767847822016716,9.2,9.4,0.1,Semi Ojeleye,8.385547547965077
33857-49114:Frank Mason,33857-49114,SG,Frank,Mason,10.502857317243304,35,3500,SAC@DAL,SAC,DAL,,,,,,6.58,12.5,20.5,0.9654265675929291,6.6,6.75,0.3,Frank Mason,11.441919130216707
33857-85467:Yante Maten,33857-85467,PF,Yante,Maten,0.0,0,3500,ORL@MIA,MIA,ORL,,,,,,-1000.0,-1000.0,-1000.0,0.14859929114980075,-1000.0,,-189238.0,Yante Maten,
33857-15843:Trey Burke,33857-15843,PG,Trey,Burke,17.689795669244262,49,3500,SAC@DAL,DAL,SAC,,,,,,14.780000000000001,15.8,25.2,0.9932407027012011,16.8,17.5,17.5,Trey Burke,15.537761350367699
33857-9702:Tony Parker,33857-9702,PG,Tony,Parker,16.948213849748885,56,3500,SA@CHA,CHO,SAS,,,,,,14.540000000000001,15.4,25.3,0.4444909409637827,15.2,19.25,16.9,Tony Parker,14.209101033889812
33857-18919:Scott Machado,33857-18919,SG,Scott,Machado,0.0,1,3500,WAS@LAL,LAL,WAS,,,,,,-1000.0,-1000.0,-1000.0,0.7411806524335207,-1000.0,,-189238.0,Scott Machado,
33857-97263:Drew Eubanks,33857-97263,PF,Drew,Eubanks,4.545000076293945,20,3500,SA@CHA,SAS,CHO,,,,,,4.8,17.5,15.0,0.9051994992164231,4.0,7.5,0.0,Drew Eubanks,9.17826562744815
33857-9712:Jose Calderon,33857-9712,PG,Jose,Calderon,7.90625,48,3500,DET@DEN,DET,DEN,,,,,,3.6,7.2,10.9,0.11383304938551116,4.4,4.85,0.0,Jose Calderon,7.905329001561669
33857-9715:Marco Belinelli,33857-9715,SG,Marco,Belinelli,17.122222900390625,72,3500,SA@CHA,SAS,CHO,,,,,,16.839999999999996,12.9,19.8,0.3858339234192658,22.4,18.45,16.4,Marco Belinelli,13.250776862682358
33857-96763:Brandon Goodwin,33857-96763,PG,Brandon,Goodwin,2.7874999046325684,16,3500,DET@DEN,DEN,DET,,,,,,1.44,8.4,23.0,0.10850999209079994,2.4,3.2,0.0,Brandon Goodwin,10.300255921365634
