Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR
Justin Patton,33785-66424,C,Justin,Patton,7.5666669209798165,3,3500,PHI@ATL,PHI,ATL,,,,,,-1000.0,0.0,-1000.0,-1000.0,0.9216942282814395,
Jonathon Simmons,33785-18821,SF,Jonathon,Simmons,13.192307692307693,52,3500,PHI@ATL,PHI,ATL,,,,,,10.86,15.2,7.7,19.0,0.9909173606671299,13.95
Corey Brewer,33785-9606,SF,Corey,Brewer,12.810000610351562,20,3500,PHO@SAC,SAC,PHO,,,,,,11.120000000000001,15.0,11.5,19.1,0.24768972583153015,14.65
Isaiah Whitehead,33785-58247,PG,Isaiah,Whitehead,10.449999809265137,16,3500,DET@POR,DET,POR,,,,,,-1000.0,0.0,-1000.0,-1000.0,0.5808015906524132,
Devin Harris,33785-9613,PG,Devin,Harris,11.994915461136124,59,3500,DAL@GS,DAL,GSW,,,,,,9.08,14.6,11.6,18.4,0.4436876585033643,12.3
Courtney Lee,33785-9615,SG,Courtney,Lee,8.276922959547777,26,3500,DAL@GS,DAL,GSW,,,,,,7.619999999999999,15.8,11.9,14.3,0.75647983808866,8.2
Cameron Reynolds,33785-101266,SG,Cameron,Reynolds,7.277777777777778,9,3500,MIN@MEM,MIN,MEM,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.2962412394749948,
Gorgui Dieng,33785-15771,C,Gorgui,Dieng,14.036364006273676,66,3500,MIN@MEM,MIN,MEM,,,,,,10.559999999999999,5.8,16.8,17.3,0.02219994821581849,17.0
Zach Collins,33785-80815,PF,Zach,Collins,15.29090927586411,66,3500,DET@POR,POR,DET,,,,,,8.420000000000002,12.2,13.6,16.3,0.027843275282867626,9.85
Thabo Sefolosha,33785-9647,SF,Thabo,Sefolosha,8.77249984741211,40,3500,UTA@CHI,UTA,CHI,,,,,,8.18,9.6,11.6,11.8,0.32255484096434267,8.4
Tony Bradley,33785-80823,C,Tony,Bradley,2.5999999046325684,1,3500,UTA@CHI,UTA,CHI,,,,,,2.5999999999999996,-1000.0,-10.4,19.0,0.9033642668470633,2.6
Damion Lee,33785-18376,SG,Damion,Lee,7.234615619365987,26,3500,DAL@GS,GSW,DAL,,,,,,6.24,11.8,11.2,16.9,0.9654265675929291,7.8
BJ Johnson,33785-101327,SF,BJ,Johnson,5.7666664123535165,6,3500,PHI@ATL,ATL,PHI,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.6525809624452856,
T.J. McConnell,33785-18393,PG,T.J.,McConnell,17.213635993726324,66,3500,PHI@ATL,PHI,ATL,,,,,,15.459999999999999,19.2,14.5,14.3,0.9879742984687923,18.2
Frank Mason,33785-49114,SG,Frank,Mason,10.502857317243304,35,3500,PHO@SAC,SAC,PHO,,,,,,5.779999999999999,5.4,12.7,20.4,0.0340865034518847,6.75
Yante Maten,33785-85467,PF,Yante,Maten,0.0,0,3500,MIA@WAS,MIA,WAS,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.8156903555621056,
Trey Burke,33785-15843,PG,Trey,Burke,17.683333079020183,48,3500,DAL@GS,DAL,GSW,,,,,,11.040000000000001,12.4,16.3,25.5,0.4436876585033643,9.65
Jose Calderon,33785-9712,PG,Jose,Calderon,7.90625,48,3500,DET@POR,DET,POR,,,,,,2.88,4.8,7.1,10.9,0.5808015906524132,2.45
