"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"50","48","44","2019-01-25","37-314","UTA","","MIN","W (+4)","0","26:47","6","13",".462","4","9",".444","0","0","","0","5","5","2","0","0","1","1","16","10.8","+13",NA,23.5
"51","49","45","2019-01-27","37-316","UTA","@","MIN","W (+14)","0","20:08","3","6",".500","3","5",".600","4","4","1.000","0","2","2","1","1","0","0","2","13","11.5","+2",NA,19.65
"52","50","46","2019-01-30","37-319","UTA","@","POR","L (-27)","0","13:34","1","4",".250","1","4",".250","0","0","","0","3","3","1","0","0","0","1","3","1.8","-21",NA,7.85
"53","51","47","2019-02-01","37-321","UTA","","ATL","W (+16)","0","24:30","6","11",".545","2","5",".400","0","0","","0","6","6","3","0","0","1","1","14","11.2","-6",NA,23.95
"54","52","48","2019-02-02","37-322","UTA","","HOU","L (-27)","0","17:18","3","6",".500","1","3",".333","1","3",".333","0","2","2","1","0","0","2","1","8","3.1","+3",NA,9.65
"55","53","49","2019-02-06","37-326","UTA","","PHO","W (+28)","0","14:39","1","5",".200","1","4",".250","0","1",".000","0","0","0","0","0","0","1","0","3","-1.5","+2",NA,2
"56","54","50","2019-02-09","37-329","UTA","","SAS","W (+20)","0","22:27","2","4",".500","1","3",".333","0","0","","0","3","3","0","1","0","0","1","5","4.5","+5",NA,11.6
"57","55","51","2019-02-12","37-332","UTA","@","GSW","L (-7)","0","18:41","1","3",".333","0","2",".000","3","3","1.000","0","4","4","3","1","0","2","1","5","5.2","0",NA,14.55
"58","56","52","2019-02-22","37-342","UTA","@","OKC","L (-1)","0","11:04","2","5",".400","2","4",".500","0","0","","0","2","2","1","0","1","2","0","6","3.3","+1",NA,10.65
"59","57","53","2019-02-23","37-343","UTA","","DAL","W (+16)","0","14:51","1","7",".143","1","6",".167","4","4","1.000","0","4","4","1","0","0","1","1","7","3.0","+1",NA,12.05
