"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"31","30","29","2018-12-21","36-080","LAL","","NOP","W (+8)","0","15:44","1","2",".500","0","0","","0","0","","1","2","3","0","1","2","1","1","2","3.3","-7",NA,13.6
"33","32","30","2018-12-25","36-084","LAL","@","GSW","W (+26)","0","15:30","0","1",".000","0","0","","0","0","","1","3","4","0","2","0","0","2","0","2.1","-2",NA,10.8
"34","33","31","2018-12-27","36-086","LAL","@","SAC","L (-1)","0","20:46","4","4","1.000","0","0","","3","4",".750","3","7","10","0","0","0","3","3","11","9.4","+7",NA,20
"35","34","32","2018-12-28","36-087","LAL","","LAC","L (-11)","0","23:39","2","4",".500","0","0","","2","6",".333","3","12","15","3","0","1","0","1","6","10.5","+1",NA,30.75
"36","35","33","2018-12-30","36-089","LAL","","SAC","W (+7)","0","16:27","3","5",".600","0","1",".000","0","0","","5","3","8","2","0","1","3","2","6","6.4","+2",NA,18.1
"37","36","34","2019-01-02","36-092","LAL","","OKC","L (-7)","0","17:21","2","2","1.000","0","0","","3","4",".750","0","3","3","1","0","0","0","2","7","6.8","-4",NA,11.85
"38","37","35","2019-01-04","36-094","LAL","","NYK","L (-7)","0","11:30","1","1","1.000","0","0","","2","2","1.000","2","2","4","0","0","0","0","1","4","5.3","+2",NA,8.8
"39","38","36","2019-01-06","36-096","LAL","@","MIN","L (-22)","0","22:05","2","4",".500","0","0","","2","4",".500","5","5","10","1","0","0","0","1","6","8.5","+1",NA,19.25
"40","39","37","2019-01-07","36-097","LAL","@","DAL","W (+10)","0","19:22","1","2",".500","0","0","","0","0","","2","2","4","2","2","1","1","2","2","5.3","+13",NA,17.3
"43","41","38","2019-01-11","36-101","LAL","@","UTA","L (-18)","0","5:19","1","1","1.000","0","0","","0","0","","1","2","3","1","0","0","0","1","2","3.3","+1",NA,6.85
"44","42","39","2019-01-13","36-103","LAL","","CLE","L (-6)","0","3:30","0","0","","0","0","","0","0","","0","2","2","0","0","0","0","0","0","0.6","+12",NA,2.4
"45","43","40","2019-01-15","36-105","LAL","","CHI","W (+7)","1","26:03","3","3","1.000","0","0","","2","4",".500","1","2","3","2","0","1","0","2","8","8.9","+19",NA,17.1
"46","44","41","2019-01-17","36-107","LAL","@","OKC","W (+10)","1","16:00","3","6",".500","0","0","","0","0","","3","4","7","0","0","1","1","1","6","5.6","-13",NA,16.4
"47","45","42","2019-01-19","36-109","LAL","@","HOU","L (-4)","1","14:28","1","1","1.000","0","0","","1","2",".500","2","5","7","0","0","0","1","2","3","3.4","-3",NA,10.4
"48","46","43","2019-01-21","36-111","LAL","","GSW","L (-19)","1","8:23","0","1",".000","0","0","","1","2",".500","0","3","3","0","0","0","0","1","1","0.4","-17",NA,4.6
"51","49","44","2019-01-29","36-119","LAL","","PHI","L (-16)","0","4:12","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-5",NA,0
"52","50","45","2019-01-31","36-121","LAL","@","LAC","W (+3)","0","18:11","1","2",".500","0","0","","2","4",".500","3","2","5","1","1","2","1","3","4","5.8","+4",NA,19.25
"54","52","46","2019-02-05","36-126","LAL","@","IND","L (-42)","0","4:54","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-6",NA,0
"55","53","47","2019-02-07","36-128","LAL","@","BOS","W (+1)","0","14:52","0","0","","0","0","","0","0","","1","5","6","0","0","2","0","1","0","3.2","+19",NA,13.2
"56","54","48","2019-02-10","36-131","LAL","@","PHI","L (-23)","0","12:56","0","0","","0","0","","0","2",".000","1","3","4","0","0","0","1","3","0","-1.4","-23",NA,3.8
"58","56","49","2019-02-21","36-142","LAL","","HOU","W (+5)","0","5:41","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","0","0","-0.7","-11",NA,0.2
"59","57","50","2019-02-23","36-144","LAL","@","NOP","L (-13)","0","4:44","0","0","","0","0","","0","0","","0","0","0","1","1","0","0","0","0","1.7","-3",NA,4.25
"60","58","51","2019-02-25","36-146","LAL","@","MEM","L (-5)","0","16:06","0","0","","0","0","","0","0","","1","3","4","2","0","0","2","3","0","-0.2","-10",NA,5.3
"61","59","52","2019-02-27","36-148","LAL","","NOP","W (+6)","0","1:43","0","0","","0","0","","1","2",".500","0","0","0","0","0","0","0","0","1","0.6","+6",NA,1
"64","61","53","2019-03-02","36-151","LAL","@","PHO","L (-9)","0","5:29","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","2","0","-0.5","-6",NA,1.2
"73","70","54","2019-03-22","36-171","LAL","","BRK","L (-5)","0","12:34","1","1","1.000","0","0","","1","2",".500","0","7","7","0","0","0","0","1","3","4.0","+3",NA,11.4
"74","71","55","2019-03-24","36-173","LAL","","SAC","W (+5)","0","15:54","1","1","1.000","0","0","","1","2",".500","1","2","3","0","0","1","3","1","3","0.9","-2",NA,6.6
