"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"68","65","51","2019-03-05","26-335","BOS","@","GSW","W (+33)","0","11:54","0","2",".000","0","1",".000","2","2","1.000","3","1","4","4","0","2","1","1","2","5.8","+15",NA,16.8
"69","66","52","2019-03-06","26-336","BOS","@","SAC","W (+2)","0","5:18","0","0","","0","0","","0","0","","1","1","2","0","1","0","1","4","0","-0.6","-6",NA,4.4
"70","67","53","2019-03-09","26-339","BOS","@","LAL","W (+13)","0","3:51","0","2",".000","0","0","","0","0","","1","0","1","0","0","0","0","0","0","-0.7","-4",NA,1.2
"71","68","54","2019-03-11","26-341","BOS","@","LAC","L (-25)","0","8:56","1","2",".500","0","0","","0","0","","0","2","2","0","0","1","1","2","2","0.5","-8",NA,6.4
"73","70","55","2019-03-16","26-346","BOS","","ATL","W (+9)","0","8:48","1","2",".500","0","1",".000","1","2",".500","1","0","1","0","0","0","0","2","3","1.5","-13",NA,4.2
"74","71","56","2019-03-18","26-348","BOS","","DEN","L (-9)","0","7:08","2","5",".400","1","2",".500","1","2",".500","1","0","1","0","0","0","0","1","6","3.2","0",NA,7.2
"75","72","57","2019-03-20","26-350","BOS","@","PHI","L (-3)","0","6:48","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","-4",NA,1.2
"76","73","58","2019-03-23","26-353","BOS","@","CHO","L (-7)","0","16:13","2","3",".667","0","0","","1","2",".500","1","2","3","1","0","2","0","2","5","5.9","+15",NA,15.85
"77","74","59","2019-03-24","26-354","BOS","","SAS","L (-19)","0","18:31","5","8",".625","1","3",".333","0","0","","4","3","7","1","0","1","1","3","11","10.3","-9",NA,22.65
"78","75","60","2019-03-26","26-356","BOS","@","CLE","W (+10)","0","9:02","0","0","","0","0","","0","0","","1","0","1","0","0","0","1","4","0","-1.9","-4",NA,0.2
"80","77","61","2019-03-30","26-360","BOS","@","BRK","L (-14)","0","20:03","7","9",".778","0","0","","2","2","1.000","2","2","4","2","1","2","0","3","16","17.1","+1",NA,32.3
"81","78","62","2019-04-01","26-362","BOS","","MIA","W (+5)","0","6:23","0","2",".000","0","0","","1","2",".500","0","1","1","0","0","0","0","1","1","-0.9","+3",NA,2.2
"82","79","63","2019-04-03","26-364","BOS","@","MIA","W (+10)","0","3:07","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","2","0","-0.8","-2",NA,1.25
"83","80","64","2019-04-05","27-001","BOS","@","IND","W (+20)","0","11:53","0","2",".000","0","1",".000","0","0","","1","1","2","0","1","0","0","3","0","-0.6","+4",NA,5.4
"85","81","65","2019-04-07","27-003","BOS","","ORL","L (-8)","0","18:53","3","7",".429","0","3",".000","0","0","","1","3","4","1","0","2","0","3","6","4.8","+5",NA,18.05
"86","82","66","2019-04-09","27-005","BOS","@","WAS","W (+6)","0","12:59","1","1","1.000","0","0","","0","0","","1","2","3","1","0","0","0","1","2","3.3","+2",NA,6.85
