Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
117,Patrick Beverley,PG,LAC,5800.0,2.24,25.9,-1.0
118,Brandon Knight,PG,CLE,3800.0,2.2,4.0,-1.0
119,Bogdan Bogdanovic,SG,SAC,4500.0,2.18,28.1,1.5
120,Tomas Satoransky,PG,WAS,6900.0,2.1,0.0,-1.0
121,Dorian Finney-Smith,SF,DAL,3700.0,2.08,12.4,-1.0
122,OG Anunoby,SF,TOR,3800.0,1.94,21.7,-1.0
123,Derrick White,PG,SA,5700.0,1.88,29.5,-1.0
124,Kevin Huerter,SG,ATL,4300.0,1.86,18.7,-1.0
125,Dairis Bertans,SG,NO,3500.0,1.86,0.0,0.0
126,Davis Bertans,SF,SA,3600.0,1.86,12.9,-1.0
127,Wayne Selden,SG,CHI,3600.0,1.84,30.4,-1.0
128,Vince Carter,SF,ATL,4100.0,1.74,20.6,-1.0
129,DeAndre' Bembry,SF,ATL,3800.0,1.74,37.2,-1.0
130,Justin Anderson,SG,ATL,3500.0,1.72,10.4,-1.0
131,Justin Jackson,SF,DAL,4300.0,1.7,2.2,-1.0
132,Luke Kennard,SG,DET,4500.0,1.62,17.4,-1.0
133,Willy Hernangomez,C1B,CHA,4200.0,1.6,0.0,-1.0
134,Mason Plumlee,C1B,DEN,4700.0,1.59,30.9,-1.0
135,Dirk Nowitzki,PF,DAL,3600.0,1.56,9.4,-1.0
136,Hassan Whiteside,C1B,MIA,5500.0,1.49,15.4,-1.0
137,Austin Rivers,SG,HOU,3500.0,1.44,10.4,-1.0
138,Dewayne Dedmon,C1B,ATL,6300.0,1.38,33.3,1.2
139,James Johnson,PF,MIA,5000.0,1.38,15.9,-1.0
140,Keita Bates-Diop,SF,MIN,3600.0,1.38,15.4,-1.0
141,David Nwaba,SG,CLE,3700.0,1.26,6.8,-1.0
142,Langston Galloway,SG,DET,3500.0,1.26,9.4,-1.0
143,Bryn Forbes,PG,SA,3700.0,1.18,21.4,-1.0
144,Gorgui Dieng,C1B,MIN,3500.0,1.18,16.0,-1.0
145,Khem Birch,PF,ORL,3600.0,1.14,0.0,-1.0
146,Alex Len,C1B,ATL,4300.0,1.14,25.4,1.5
147,Wayne Ellington,SG,DET,4100.0,1.08,12.0,-1.0
148,Patty Mills,PG,SA,3800.0,1.06,6.1,-1.0
149,Marco Belinelli,SG,SA,3500.0,1.02,27.5,-1.0
