"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Var.20","OWS","DWS","WS","WS.48","Var.25","OBPM","DBPM","BPM","VORP","links"
"228","168","Dorian Finney-Smith","SF","25","DAL","81","1985","11.0",".530",".481",".195","7.5","13.4","10.5","6.9","1.7","1.5","11.4","14.0",NA,"1.2","2.0","3.3",".079",NA,"-1.0","1.1","0.2","1.1","/players/f/finnedo01.html"
"229","169","Bryn Forbes","SG","25","SAS","82","2293","12.0",".586",".522",".099","0.9","10.4","5.7","10.6","1.0","0.1","8.8","17.4",NA,"2.5","1.3","3.8",".079",NA,"1.0","-1.7","-0.7","0.7","/players/f/forbebr01.html"
"230","170","Evan Fournier","SG","26","ORL","81","2553","12.3",".536",".421",".159","1.6","9.4","5.4","17.6","1.4","0.4","11.9","22.1",NA,"0.8","2.5","3.2",".061",NA,"-0.4","-1.1","-1.5","0.3","/players/f/fournev01.html"
"231","171","De'Aaron Fox","PG","21","SAC","81","2546","18.1",".544",".211",".378","1.7","10.8","6.2","33.2","2.4","1.5","15.0","24.5",NA,"3.2","2.5","5.6",".106",NA,"1.1","0.0","1.1","2.0","/players/f/foxde01.html"
"232","172","Melvin Frazier","SG","22","ORL","10","44","1.2",".330",".286",".190","7.2","4.9","6.1","3.3","1.1","0.0","4.2","23.5",NA,"-0.2","0.0","-0.1","-0.133",NA,"-8.4","-4.5","-12.9","-0.1","/players/f/frazime01.html"
"233","173","Tim Frazier","PG","28","TOT","59","1120","11.7",".544",".387",".207","3.9","11.5","7.7","27.6","1.2","0.4","21.1","13.3",NA,"1.3","0.7","2.0",".084",NA,"-1.0","-1.3","-2.3","-0.1","/players/f/fraziti01.html"
"234","173","Tim Frazier","PG","28","NOP","47","909","11.6",".552",".395",".210","3.7","11.8","7.8","28.0","1.3","0.4","22.0","12.3",NA,"1.1","0.4","1.5",".081",NA,"-0.9","-1.3","-2.2","0.0","/players/f/fraziti01.html"
"235","173","Tim Frazier","PG","28","MIL","12","211","11.8",".523",".364",".197","4.6","10.0","7.5","26.0","1.1","0.4","18.2","17.4",NA,"0.2","0.3","0.4",".097",NA,"-1.7","-1.0","-2.7","0.0","/players/f/fraziti01.html"
"236","174","Jimmer Fredette","SG","29","PHO","6","65","3.6",".348",".448",".207","1.7","10.4","6.0","17.5","2.2","0.0","13.6","24.2",NA,"-0.2","0.0","-0.2","-0.166",NA,"-7.6","-3.5","-11.1","-0.1","/players/f/fredeji01.html"
"237","175","Channing Frye","C","35","CLE","36","341","8.9",".524",".675",".120","1.2","16.4","8.5","8.6","0.9","1.3","9.5","17.5",NA,"0.1","0.0","0.1",".016",NA,"-1.9","-2.9","-4.8","-0.2","/players/f/fryech01.html"
"238","176","Markelle Fultz","SG","20","PHI","19","427","10.5",".452",".090",".239","6.6","10.6","8.7","19.5","1.9","0.9","12.7","19.3",NA,"-0.1","0.4","0.3",".035",NA,"-2.9","-0.1","-3.1","-0.1","/players/f/fultzma01.html"
"239","177","Danilo Gallinari","SF","30","LAC","68","2059","21.0",".633",".421",".459","2.9","18.1","10.7","13.2","1.1","0.9","8.5","23.8",NA,"6.4","1.8","8.2",".191",NA,"4.2","-1.2","2.9","2.6","/players/g/gallida01.html"
"240","178","Langston Galloway","SG","27","DET","80","1745","10.7",".534",".647",".164","3.0","7.9","5.4","7.3","1.0","0.4","3.7","16.1",NA,"2.1","1.3","3.4",".094",NA,"0.2","-1.6","-1.3","0.3","/players/g/gallola01.html"
"241","179","Billy Garrett","SG","24","NYK","4","63","9.8",".452",".296",".148","0.0","5.1","2.5","18.0","0.8","1.3","6.5","20.9",NA,"0.0","0.0","0.0","-0.019",NA,"-4.0","-4.4","-8.4","-0.1","/players/g/garrebi01.html"
"242","180","Marc Gasol","C","34","TOT","79","2436","16.7",".546",".314",".291","3.6","25.1","14.3","22.2","1.7","3.2","13.6","20.7",NA,"2.0","4.0","6.0",".118",NA,"-0.3","3.1","2.8","3.0","/players/g/gasolma01.html"
"243","180","Marc Gasol","C","34","MEM","53","1788","16.9",".541",".324",".294","3.5","25.5","14.3","22.6","1.7","3.3","13.4","22.3",NA,"1.0","2.8","3.9",".104",NA,"-0.3","3.0","2.7","2.1","/players/g/gasolma01.html"
"244","180","Marc Gasol","C","34","TOR","26","648","16.0",".565",".278",".278","4.1","24.0","14.3","21.2","1.8","2.9","14.6","16.3",NA,"0.9","1.2","2.1",".157",NA,"-0.3","3.5","3.2","0.9","/players/g/gasolma01.html"
"246","181","Pau Gasol","C","38","TOT","30","360","16.7",".529",".138",".426","6.7","34.2","20.6","19.1","0.7","3.5","12.5","15.6",NA,"0.5","0.5","1.1",".142",NA,"-2.1","2.7","0.6","0.2","/players/g/gasolpa01.html"
"247","181","Pau Gasol","C","38","SAS","27","330","18.0",".544",".114",".432","7.3","34.4","21.0","20.2","0.7","3.6","11.8","15.8",NA,"0.6","0.5","1.1",".160",NA,"-1.4","2.8","1.5","0.3","/players/g/gasolpa01.html"
"248","181","Pau Gasol","C","38","MIL","3","30","1.7",".291",".500",".333","0.0","31.9","16.9","7.7","0.0","2.8","22.5","12.4",NA,"-0.1","0.1","0.0","-0.063",NA,"-10.7","1.6","-9.1","-0.1","/players/g/gasolpa01.html"
"249","182","Rudy Gay","PF","32","SAS","69","1842","17.5",".583",".247",".197","3.8","23.9","13.9","14.7","1.4","1.6","12.3","22.1",NA,"2.2","2.2","4.4",".115",NA,"0.2","0.8","1.0","1.4","/players/g/gayru01.html"
"250","183","Paul George","SF","28","OKC","77","2841","23.3",".583",".469",".335","3.7","19.6","11.4","17.7","2.8","1.0","10.0","29.5",NA,"7.0","4.9","11.9",".201",NA,"4.7","0.7","5.5","5.3","/players/g/georgpa01.html"
"251","184","Taj Gibson","PF","33","MIN","70","1686","17.8",".612",".063",".330","10.8","18.3","14.5","7.3","1.5","2.0","10.6","17.2",NA,"3.7","1.4","5.1",".144",NA,"0.8","0.2","1.0","1.3","/players/g/gibsota01.html"
"252","185","Harry Giles","PF","20","SAC","58","820","14.4",".526",".017",".261","8.1","20.1","14.0","15.2","1.8","2.3","15.8","23.2",NA,"0.0","1.0","1.0",".056",NA,"-3.0","0.9","-2.1","0.0","/players/g/gilesha01.html"
