Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
17,40,C,7-0,240,"October 5, 1992",us,5,Indiana,CHO,
1,32,SF,6-7,200,"February 1, 1997",ss,R,Louisville,CLE,
2,4,SF,6-7,220,"September 16, 1993",us,R,Clemson,CLE,
3,10,SG,6-6,214,"July 20, 1991",us,7,Colorado,CLE,
4,3,PF,6-10,240,"July 2, 1997",us,2,Washington,CLE,
5,8,SG,6-5,194,"June 7, 1992",us,4,"Tulsa, Missouri",CLE,
6,15,PF,6-9,230,"May 6, 1994",us,3,Wisconsin,CLE,
7,18,PG,6-4,200,"September 8, 1990",au,5,Saint Mary's,CLE,
8,9,C,7-0,255,"May 17, 1983",us,12,Arizona,CLE,
9,55,PG,6-6,213,"October 28, 1994",us,2,Kentucky,CLE,
10,3,PG,6-3,188,"May 4, 1986",us,10,IUPUI,CLE,
11,10,SF,6-5,205,"November 6, 1988",us,2,Boston University,CLE,
12,1,SG,6-8,206,"October 20, 1992",us,4,"Mississippi State, Duke",CLE,
13,21,SF,6-7,220,"May 27, 1993",us,1,Texas A&M,CLE,
14,20,PG,6-3,195,"December 2, 1991",us,6,Kentucky,CLE,
15,26,PF,6-7,212,"March 17, 1981",us,15,Creighton,CLE,
16,0,PF,6-10,251,"September 7, 1988",us,10,UCLA,CLE,
17,3,SG,6-7,185,"October 25, 1995",us,2,UNLV,CLE,
18,22,C,6-9,230,"January 1, 1993",us,3,Wyoming,CLE,
19,12,SG,6-4,219,"January 14, 1993",us,2,Cal Poly,CLE,
20,16,SF,6-8,215,"April 8, 1995",mk,1,,CLE,
21,3,PG,6-3,190,"August 8, 1994",us,3,Murray State,CLE,
22,2,PG,6-2,190,"January 4, 1999",us,R,Alabama,CLE,
23,3,PG,6-5,166,"July 4, 1997",us,1,Arizona,CLE,
24,5,SG,6-6,225,"September 9, 1985",us,14,,CLE,
25,1,SG,6-6,205,"October 7, 1993",ca,4,Michigan,CLE,
26,13,C,6-10,238,"March 13, 1991",ca,7,Texas,CLE,
27,41,C,6-11,254,"January 4, 1997",hr,1,,CLE,
1,37,PF,6-10,200,"November 20, 1997",gr,R,Dayton,DAL,
2,5,PG,6-0,185,"June 26, 1984",pr,12,Northeastern University,DAL,
3,40,PF,6-8,225,"May 30, 1992",us,6,UNC,DAL,
4,45,SG,6-7,215,"August 23, 1990",au,R,Valparaiso,DAL,
5,13,PG,6-3,190,"August 31, 1996",us,R,Villanova,DAL,
6,23,PG,6-1,175,"November 12, 1992",us,5,Michigan,DAL,
7,77,SG,6-7,218,"February 28, 1999",si,R,,DAL,
8,10,SF,6-8,220,"May 4, 1993",us,2,Florida,DAL,
9,11,SG,6-6,205,"March 16, 1992",us,5,Michigan,DAL,
10,34,PG,6-3,185,"February 27, 1983",us,14,Wisconsin,DAL,
11,44,SF,6-8,210,"March 28, 1995",us,1,UNC,DAL,
12,6,C,6-11,265,"July 21, 1988",us,10,Texas A&M,DAL,
13,42,PF,6-11,240,"January 29, 1992",de,1,,DAL,
14,1,SG,6-5,215,"October 3, 1985",us,10,Western Kentucky,DAL,
15,3,SG,6-3,185,"November 29, 1995",us,R,Arkansas,DAL,
16,23,SF,6-5,220,"October 14, 1986",us,9,Marquette,DAL,
17,50,C,7-2,235,"June 15, 1986",tn,3,,DAL,
18,41,PF,7-0,245,"June 19, 1978",de,20,,DAL,
19,7,C,6-11,240,"July 20, 1991",ca,4,Stanford,DAL,
20,1,PG,6-3,195,"November 25, 1997",us,1,NC State,DAL,
21,26,PF,6-10,215,"March 11, 1997",us,R,Louisville,DAL,
1,23,SG,6-6,200,"June 5, 1993",us,R,Illinois State University,DEN,
2,5,SG,6-6,190,"January 6, 1991",us,6,Memphis,DEN,
3,25,SG,6-5,195,"November 26, 1996",us,2,Florida State,DEN,
