,Fanduel
131,Kevin Huerter
132,Bogdan Bogdanovic
133,Jordan Bell
134,Lou Williams
135,JaMychal Green
136,Jaylen Adams
137,Harrison Barnes
138,Montrezl Harrell
139,Trey Lyles
140,Steven Adams
141,Edmond Sumner
142,Alize Johnson
143,Justin Holiday
144,Udonis Haslem
145,Mitchell Creek
146,Raymond Felton
147,Vince Carter
148,Dario Saric
149,Donatas Motiejunas
150,Willie Cauley-Stein
151,Patrick Beverley
152,Johnathan Motley
153,Markieff Morris
154,Timothe Luwawu-Cabarrot
155,C.J. Williams
156,Darren Collison
157,Landry Shamet
158,Mike Scott
159,Nene Nene
160,Marcus Smart
161,Iman Shumpert
162,Malcolm Brogdon
163,Semi Ojeleye
164,D'Angelo Russell
165,Aaron Gordon
166,DeMarre Carroll
167,Khem Birch
168,Joe Harris
169,Evan Fournier
170,Terrence Ross
171,D.J. Augustin
172,Caris LeVert
173,Spencer Dinwiddie
174,Ed Davis
175,Michael Carter-Williams
176,Garrett Temple
177,Shake Milton
178,Rodions Kurucs
179,Damion Lee
180,Jarrett Allen
181,Jeremy Lin
182,Wilson Chandler
183,Jared Dudley
184,Rondae Hollis-Jefferson
185,TJ Leaf
186,Kyle O'Quinn
187,Tony Bradley
188,PJ Dozier
189,Terrance Ferguson
190,Ivica Zubac
191,Tyrone Wallace
192,Eric Moreland
193,Andre Drummond
194,Tyreke Evans
195,Cory Joseph
196,Reggie Jackson
197,Thon Maker
198,Ish Smith
199,Wayne Ellington
200,Ekpe Udoh
201,Aaron Holiday
202,Khyri Thomas
203,Brad Wanamaker
204,Luke Kennard
205,Grayson Allen
206,Doug McDermott
207,Langston Galloway
208,Jon Leuer
209,Raul Neto
210,Kyle Korver
211,Shabazz Napier
212,Glenn III
213,Jonas Valanciunas
214,TJ Warren
215,Jusuf Nurkic
216,Milos Teodosic
217,Dragan Bender
218,Jamal Crawford
219,Nik Stauskas
220,Dante Cunningham
221,Gary Clark
222,OG Anunoby
223,Anthony Davis
224,Bam Adebayo
225,Alec Burks
226,David Nwaba
227,Bradley Beal
228,Tomas Satoransky
229,Collin Sexton
230,Emmanuel Mudiay
231,Blake Griffin
232,Kemba Walker
233,John Wall
234,Noah Vonleh
235,Kelly Jr.
236,Jonas Jerebko
237,Julius Randle
238,Josh Richardson
239,Jordan Clarkson
240,Tim Jr.
241,Jeremy Lamb
242,Robert Covington
243,Marvin Williams
244,Jrue Holiday
245,Karl-Anthony Towns
246,Kelly Olynyk
247,Derrick Rose
248,Larry Jr.
249,Luka Doncic
250,Taj Gibson
251,Cedi Osman
252,Dwyane Wade
253,Jaren Jr.
254,Tony Parker
255,Stanley Johnson
256,Mike Conley
257,Michael Kidd-Gilchrist
258,Andrew Wiggins
259,J.J. Barea
260,Dwight Powell
261,Damyean Dotson
262,Frank Kaminsky
263,Nicolas Batum
264,James Johnson
265,Kyle Anderson
266,DeAndre Jordan
267,Maxi Kleber
268,Jaron Blossomgame
269,Allen Crabbe
270,Cody Zeller
271,Dewayne Dedmon
272,Jeff Teague
273,Sam Dekker
274,Jalen Jones
275,Rodney McGruder
276,Dorian Finney-Smith
277,Kevin Knox
278,Jalen Brunson
279,Victor Oladipo
280,Tyler Johnson
281,Donte DiVincenzo
282,Nerlens Noel
283,Miles Bridges
284,Jeff Green
285,Thomas Bryant
286,Malik Monk
287,Hamidou Diallo
288,Alex Abrines
289,LeBron James
290,Josh Jackson
291,Josh Hart
292,Lauri Markkanen
293,Trevor Ariza
294,Deandre Ayton
295,De'Anthony Melton
296,Kyle Kuzma
297,Wendell Jr.
298,Zach LaVine
299,Mikal Bridges
300,Kentavious Caldwell-Pope
301,Jabari Parker
302,Lonzo Ball
303,Dennis Jr.
304,Avery Bradley
305,Richaun Holmes
306,Cristiano Felicio
307,Svi Mykhailiuk
308,Sindarius Thornwell
309,Quincy Pondexter
310,Michael Beasley
311,Brandon Knight
312,Kris Dunn
313,JaVale McGee
314,Ryan Arcidiacono
315,Troy Daniels
316,Tyson Chandler
317,Lance Stephenson
318,Mohamed Bamba
319,Shaquille Harrison
320,Cameron Payne
321,Juancho Hernangomez
322,Mike Muscala
323,Hassan Whiteside
324,Yogi Ferrell
325,Robert III
326,Shelvin Mack
327,Mitchell Robinson
328,Devin Booker
329,Bobby Portis
330,Reggie Bullock
331,Jawun Evans
332,Bruce Brown
333,E'Twaun Moore
334,Cheick Diallo
335,Solomon Hill
336,Devin Harris
337,Darius Miller
338,Harry III
