"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","links"
"371","354","Hassan Whiteside","C","30","POR","3","3","26.0","5.7","7.0",".810","0.0","0.0","","5.7","7.0",".810",".810","3.3","4.0",".833","3.0","11.0","14.0","1.0","0.3","1.3","3.0","4.0","14.7","/players/w/whiteha01.html"
"372","355","Andrew Wiggins","SF","24","MIN","3","3","34.7","8.3","19.3",".431","1.3","5.7",".235","7.0","13.7",".512",".466","2.7","3.7",".727","2.7","3.3","6.0","0.7","0.3","0.3","1.7","2.7","20.7","/players/w/wiggian01.html"
"373","356","Grant Williams","PF","21","BOS","3","0","16.0","1.7","4.7",".357","0.0","1.3",".000","1.7","3.3",".500",".357","0.3","1.0",".333","2.3","0.7","3.0","1.7","1.3","0.7","0.3","2.3","3.7","/players/w/willigr01.html"
"374","357","Kenrich Williams","PF","25","NOP","3","0","24.0","1.3","4.3",".308","0.7","2.3",".286","0.7","2.0",".333",".385","1.3","1.7",".800","2.0","3.7","5.7","2.3","1.0","0.7","0.7","3.7","4.7","/players/w/willike04.html"
"375","358","Lou Williams","SG","33","LAC","3","0","31.7","6.7","14.0",".476","1.7","4.7",".357","5.0","9.3",".536",".536","7.0","8.0",".875","0.3","3.0","3.3","5.7","0.7","0.0","2.3","1.0","22.0","/players/w/willilo02.html"
"376","359","Marvin Williams","PF","33","CHO","3","0","15.3","2.7","5.7",".471","2.0","3.7",".545","0.7","2.0",".333",".647","0.0","0.0","","0.3","1.3","1.7","0.3","0.3","0.0","0.7","1.7","7.3","/players/w/willima02.html"
"377","360","Robert Williams","C","22","BOS","3","1","15.7","2.3","3.3",".700","0.0","0.0","","2.3","3.3",".700",".700","0.3","0.7",".500","1.7","3.7","5.3","1.7","1.7","1.0","0.7","3.7","5.0","/players/w/williro04.html"
"379","361","Nigel Williams-Goss","PG","25","UTA","2","0","2.5","0.0","0.5",".000","0.0","0.5",".000","0.0","0.0","",".000","0.0","0.0","","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.5","0.0","/players/w/willini01.html"
"380","362","Justise Winslow","SF","23","MIA","3","3","40.0","7.3","18.0",".407","1.0","2.3",".429","6.3","15.7",".404",".435","3.3","5.7",".588","2.3","7.0","9.3","6.7","1.0","1.0","3.3","3.3","19.0","/players/w/winslju01.html"
"381","363","Christian Wood","PF","24","DET","2","0","11.5","2.0","3.0",".667","0.5","1.5",".333","1.5","1.5","1.000",".750","1.0","2.0",".500","1.0","1.5","2.5","0.0","0.0","0.0","1.0","0.5","5.5","/players/w/woodch01.html"
"382","364","Delon Wright","SG","27","DAL","3","2","25.3","4.0","6.0",".667","1.0","1.3",".750","3.0","4.7",".643",".750","2.0","2.0","1.000","0.7","3.7","4.3","3.7","2.0","0.0","0.7","1.7","11.0","/players/w/wrighde01.html"
"383","365","Thaddeus Young","PF","31","CHI","3","0","21.0","4.0","8.0",".500","1.7","4.0",".417","2.3","4.0",".583",".604","0.0","0.0","","0.3","1.3","1.7","2.0","0.7","0.0","1.7","0.7","9.7","/players/y/youngth01.html"
"384","366","Trae Young","PG","21","ATL","2","2","36.5","13.5","23.0",".587","5.5","10.0",".550","8.0","13.0",".615",".707","6.0","8.0",".750","0.0","7.0","7.0","9.0","1.5","0.0","5.5","1.0","38.5","/players/y/youngtr01.html"
"385","367","Cody Zeller","C","27","CHO","2","2","32.0","7.5","12.0",".625","0.5","2.5",".200","7.0","9.5",".737",".646","1.5","2.0",".750","5.5","7.5","13.0","1.0","1.5","1.5","0.5","3.5","17.0","/players/z/zelleco01.html"
"386","368","Ivica Zubac","C","22","LAC","3","3","14.3","3.0","4.3",".692","0.0","0.0","","3.0","4.3",".692",".692","4.3","5.0",".867","1.3","4.0","5.3","0.3","0.0","1.0","0.7","2.3","10.3","/players/z/zubaciv01.html"
