,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
120,Derrick Jones Jr.,0.6,1.4,0.0,3.0,0.0,0.4,0.34299999999999997,0.337,0.083,0.6779999999999999,0.0,0.526
121,Derrick Rose,8.0,1.8,6.2,0.6,0.1,0.5,0.527,0.36,0.44799999999999995,0.5,1.0,0.556
122,Derrick White,4.5,1.6,2.5,0.5,0.0,0.3,0.53,0.33899999999999997,0.444,0.727,0.0,0.6
123,Devin Booker,8.5,3.9,8.5,1.7,0.9,1.0,0.522,0.409,0.4,0.6859999999999999,0.595,0.619
124,Devin Harris,1.5,2.2,0.8,0.3,0.0,0.1,0.479,0.32299999999999995,0.267,0.529,0.0,0.28600000000000003
125,Devin Robinson,1.6,0.3,0.9,2.3,0.6,0.0,0.444,0.33299999999999996,0.429,0.7,1.0,0.0
126,Devonte' Graham,1.2,1.5,1.3,0.2,0.0,0.0,0.375,0.324,0.27,1.0,0.0,1.0
127,Dewayne Dedmon,0.5,4.2,0.2,4.7,0.4,1.2,0.5,0.385,0.21100000000000002,0.607,0.409,0.541
128,Deyonta Davis,0.0,0.2,0.0,3.3,0.0,0.2,0.0,0.25,0.0,0.813,0.0,0.33299999999999996
129,Dillon Brooks,2.4,2.3,1.0,0.7,0.0,0.5,0.45,0.4,0.276,0.429,0.0,0.5
130,Dion Waiters,2.8,5.7,2.6,0.0,0.0,0.0,0.446,0.395,0.341,0.5,0.0,0.5
131,Dirk Nowitzki,0.0,5.1,1.2,0.2,1.0,0.5,0.0,0.34600000000000003,0.406,0.5,0.42100000000000004,0.444
132,Domantas Sabonis,1.2,1.7,0.1,6.2,2.0,3.9,0.545,0.40700000000000003,0.278,0.6609999999999999,0.546,0.5760000000000001
133,Donatas Motiejunas,0.0,0.7,0.0,1.3,0.0,0.7,0.0,1.0,0.0,1.0,0.0,1.0
134,Donovan Mitchell,10.4,3.5,7.2,1.1,0.2,0.4,0.45399999999999996,0.38799999999999996,0.384,0.672,0.857,0.619
135,Donte DiVincenzo,0.5,2.2,0.4,1.1,0.0,0.2,0.6,0.28600000000000003,0.21100000000000002,0.722,0.0,0.667
136,Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Dorian Finney-Smith,1.0,2.7,0.5,1.9,0.0,0.3,0.475,0.316,0.271,0.585,0.16699999999999998,0.5
138,Doug McDermott,1.0,3.6,0.5,1.0,0.1,0.5,0.508,0.425,0.321,0.804,1.0,0.516
139,Dragan Bender,0.6,1.4,0.1,2.1,0.2,0.7,0.619,0.21899999999999997,0.25,0.76,0.5,0.75
140,Draymond Green,0.8,2.2,0.3,1.6,0.4,0.5,0.489,0.28600000000000003,0.39299999999999996,0.61,0.522,0.452
141,Drew Eubanks,0.1,0.0,0.0,1.0,0.7,0.0,1.0,0.0,0.0,0.5379999999999999,0.5,0.0
142,Duncan Robinson,0.1,1.9,0.3,0.3,0.0,0.1,0.0,0.313,0.28600000000000003,1.0,0.0,0.5
143,Dusty Hannahs,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
