Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Wendell Jr.,21,22,26.0,7.0,13.0,4.0,5.0,1.0,6.0,4.0,1.0,0.0,0.0,18.0,35.4
Darren Collison,22,23,36.0,8.0,14.0,1.0,2.0,1.0,1.0,6.0,2.0,0.0,0.0,17.0,34.4
Josh Okogie,23,24,30.0,6.0,13.0,4.0,4.0,0.0,4.0,3.0,3.0,1.0,0.0,17.0,38.3
Antonio Blakeney,24,25,21.0,7.0,12.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,24.9
Nemanja Bjelica,25,26,32.0,7.0,15.0,2.0,4.0,3.0,2.0,5.0,1.0,2.0,1.0,19.0,40.5
Kevin Durant,26,27,28.0,5.0,9.0,3.0,3.0,0.0,2.0,7.0,1.0,1.0,0.0,14.0,32.9
Paul Millsap,27,28,26.0,6.0,12.0,4.0,4.0,3.0,5.0,3.0,1.0,1.0,3.0,18.0,35.1
LaMarcus Aldridge,28,29,39.0,6.0,17.0,8.0,8.0,3.0,3.0,4.0,1.0,0.0,1.0,20.0,35.2
De'Aaron Fox,29,30,34.0,8.0,15.0,3.0,5.0,1.0,3.0,8.0,2.0,1.0,6.0,20.0,39.8
Alfonzo McKinnie,30,31,26.0,7.0,15.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,0.0,19.0,35.5
Brandon Ingram,31,32,25.0,9.0,18.0,3.0,4.0,3.0,2.0,2.0,0.0,3.0,4.0,24.0,38.0
Zach Collins,32,33,26.0,7.0,10.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,17.0,27.1
Eric Bledsoe,33,34,25.0,7.0,12.0,1.0,1.0,0.0,2.0,8.0,0.0,1.0,3.0,17.0,31.4
Goran Dragic,34,35,31.0,7.0,16.0,2.0,2.0,0.0,1.0,5.0,2.0,0.0,2.0,20.0,32.7
Victor Oladipo,35,36,36.0,9.0,24.0,1.0,1.0,0.0,9.0,7.0,1.0,0.0,1.0,21.0,44.3
Spencer Dinwiddie,36,37,25.0,6.0,10.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,17.0,27.7
Frank Ntilikina,37,38,31.0,5.0,13.0,3.0,3.0,1.0,4.0,4.0,0.0,1.0,0.0,16.0,31.0
Jabari Parker,38,39,26.0,7.0,15.0,1.0,5.0,2.0,7.0,5.0,1.0,1.0,1.0,15.0,38.3
Kyle Kuzma,39,40,32.0,8.0,18.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,19.0,30.7
Zach LaVine,40,41,26.0,8.0,17.0,3.0,4.0,1.0,6.0,2.0,2.0,0.0,4.0,21.0,34.4
Cameron Payne,42,43,20.0,5.0,9.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,15.0,23.1
Draymond Green,43,44,25.0,1.0,5.0,1.0,2.0,1.0,6.0,12.0,1.0,2.0,0.0,3.0,38.4
Nikola Mirotic,44,45,37.0,7.0,17.0,0.0,2.0,0.0,10.0,2.0,3.0,1.0,2.0,17.0,42.0
Jrue Holiday,45,46,34.0,7.0,13.0,0.0,0.0,0.0,8.0,9.0,1.0,1.0,5.0,16.0,40.1
Rondae Hollis-Jefferson,46,47,27.0,8.0,15.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,1.0,16.0,32.4
Dennis Jr.,47,48,37.0,9.0,18.0,3.0,4.0,0.0,1.0,4.0,2.0,0.0,4.0,22.0,31.2
Tony Snell,48,49,16.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,11.0,20.9
CJ McCollum,49,50,32.0,7.0,15.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,17.0,27.7
Mike Muscala,50,51,18.0,5.0,7.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,14.0,22.0
Rudy Gay,51,52,40.0,6.0,13.0,1.0,2.0,1.0,10.0,4.0,6.0,0.0,7.0,15.0,45.2
Malcolm Brogdon,52,53,27.0,6.0,11.0,5.0,5.0,1.0,4.0,3.0,0.0,0.0,2.0,17.0,25.5
Rajon Rondo,53,54,31.0,6.0,9.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,4.0,13.0,28.2
Mitchell Robinson,54,55,15.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,11.0,22.1
Allonzo Trier,55,56,24.0,5.0,7.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,12.0,21.0
Evan Turner,56,57,25.0,6.0,9.0,0.0,1.0,1.0,7.0,3.0,1.0,0.0,1.0,13.0,29.1
Markelle Fultz,57,58,25.0,7.0,16.0,1.0,2.0,2.0,2.0,7.0,0.0,0.0,1.0,16.0,30.3
Harrison Barnes,58,59,34.0,8.0,14.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,2.0,18.0,27.7
Khris Middleton,59,60,31.0,4.0,11.0,2.0,3.0,0.0,4.0,8.0,2.0,0.0,3.0,14.0,33.8
JaVale McGee,60,61,30.0,6.0,8.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,13.0,31.0
Thaddeus Young,61,62,31.0,6.0,13.0,3.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,16.0,26.8
Enes Kanter,63,64,26.0,7.0,13.0,1.0,1.0,6.0,9.0,2.0,1.0,0.0,6.0,15.0,33.0
Shabazz Napier,64,65,18.0,3.0,6.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,12.0,18.5
Taj Gibson,65,66,28.0,3.0,7.0,2.0,4.0,5.0,1.0,0.0,2.0,3.0,1.0,8.0,29.2
Trey Lyles,66,67,21.0,6.0,14.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,22.7
Anthony Tolliver,67,68,19.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,10.0,19.8
Kent Bazemore,68,69,32.0,7.0,16.0,2.0,5.0,0.0,3.0,1.0,2.0,2.0,2.0,18.0,33.1
Shaquille Harrison,69,70,18.0,5.0,8.0,3.0,8.0,1.0,3.0,4.0,1.0,0.0,1.0,13.0,25.8
Kyle Lowry,70,71,34.0,3.0,14.0,3.0,5.0,2.0,4.0,15.0,2.0,1.0,4.0,9.0,43.7
Donte DiVincenzo,71,72,22.0,4.0,9.0,2.0,2.0,0.0,8.0,2.0,0.0,0.0,1.0,12.0,23.6
Jonas Jerebko,72,73,19.0,4.0,4.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,10.0,21.0
Quinn Cook,73,74,16.0,6.0,12.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,16.0,18.9
Landry Shamet,74,75,24.0,4.0,8.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,13.0,19.2
Caleb Swanigan,75,76,18.0,4.0,6.0,3.0,3.0,4.0,6.0,1.0,1.0,0.0,3.0,11.0,24.5
Noah Vonleh,76,77,28.0,3.0,6.0,2.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,8.0,28.0
Trae Young,77,78,29.0,5.0,13.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,11.0,25.4
Tyler Johnson,78,79,24.0,3.0,8.0,4.0,6.0,0.0,4.0,4.0,2.0,0.0,1.0,11.0,26.8
DeAndre Jordan,79,80,41.0,4.0,6.0,0.0,2.0,1.0,18.0,2.0,1.0,1.0,3.0,8.0,36.8
E'Twaun Moore,80,81,37.0,7.0,10.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,5.0,18.0,18.4
Malik Beasley,81,82,31.0,5.0,9.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,12.0,21.2
Nik Stauskas,82,83,24.0,3.0,6.0,2.0,2.0,0.0,3.0,5.0,0.0,0.0,2.0,10.0,19.1
Myles Turner,84,85,31.0,5.0,12.0,0.0,4.0,4.0,5.0,1.0,1.0,3.0,0.0,10.0,34.3
Thon Maker,85,86,23.0,4.0,7.0,1.0,2.0,0.0,7.0,2.0,0.0,1.0,2.0,11.0,23.4
Marco Belinelli,86,87,23.0,5.0,12.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,13.0,24.1
Norman Powell,87,88,27.0,2.0,3.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,16.1
Al-Farouq Aminu,88,89,28.0,3.0,8.0,4.0,4.0,2.0,8.0,0.0,1.0,0.0,2.0,11.0,24.0
Cheick Diallo,89,90,13.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,8.0,21.0
Joe Harris,90,91,27.0,4.0,9.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,11.0,20.2
Jarrett Allen,91,92,20.0,2.0,6.0,3.0,4.0,2.0,4.0,3.0,0.0,2.0,0.0,7.0,24.7
Dewayne Dedmon,92,93,23.0,4.0,8.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,11.0,20.0
Tim Frazier,93,94,19.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,19.1
Bojan Bogdanovic,94,95,37.0,4.0,12.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,1.0,14.0,19.9
J.J. Redick,95,96,25.0,4.0,15.0,2.0,2.0,0.0,8.0,3.0,2.0,1.0,3.0,14.0,34.1
Omari Spellman,96,97,23.0,4.0,11.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,11.0,21.2
Domantas Sabonis,97,98,23.0,2.0,3.0,2.0,3.0,0.0,8.0,2.0,2.0,1.0,2.0,6.0,25.6
Joel Embiid,98,99,29.0,3.0,9.0,4.0,4.0,2.0,4.0,6.0,0.0,2.0,4.0,10.0,28.2
D'Angelo Russell,99,100,27.0,4.0,10.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,13.0,17.6
Robert Covington,100,101,31.0,4.0,12.0,0.0,0.0,1.0,5.0,1.0,3.0,2.0,3.0,11.0,31.7
Danny Green,101,102,29.0,3.0,6.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,8.0,17.5
Lance Stephenson,102,103,14.0,4.0,10.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,11.0,23.8
Frank Jackson,103,104,26.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,16.9
Miles Plumlee,105,106,9.0,3.0,4.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,2.0,6.0,18.7
Derrick Rose,106,107,29.0,4.0,16.0,3.0,5.0,4.0,3.0,7.0,0.0,0.0,2.0,11.0,27.9
Bam Adebayo,107,108,18.0,2.0,4.0,4.0,6.0,1.0,7.0,0.0,1.0,0.0,2.0,8.0,18.6
Dorian Finney-Smith,108,109,16.0,3.0,7.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,15.8
Damian Lillard,109,110,32.0,5.0,13.0,4.0,4.0,0.0,1.0,2.0,0.0,1.0,3.0,16.0,20.2
Kosta Koufos,110,111,11.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,13.8
Patty Mills,111,112,34.0,4.0,9.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,10.0,17.6
Jonas Valanciunas,112,113,12.0,3.0,10.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,16.6
Chris Boucher,113,114,2.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,11.4
Cristiano FelÃ­cio,114,115,21.0,3.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,14.4
Justise Winslow,115,116,23.0,3.0,9.0,3.0,5.0,4.0,1.0,2.0,0.0,0.0,1.0,9.0,17.0
Kevon Looney,116,117,17.0,3.0,5.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,13.0
Pat Connaughton,117,118,16.0,3.0,8.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,1.0,8.0,19.6
Justin Holiday,118,119,28.0,3.0,9.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,9.0,16.9
Ed Davis,119,120,12.0,2.0,4.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,13.2
