Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Josh Okogie,83,84,23.0,1.0,7.0,5.0,8.0,1.0,5.0,3.0,0.0,1.0,0.0,7.0,21.7
Terrence Ross,84,85,27.0,4.0,13.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,9.0,21.8
Justise Winslow,85,86,29.0,4.0,15.0,1.0,2.0,0.0,7.0,3.0,4.0,0.0,3.0,10.0,31.9
Justin Jackson,86,87,23.0,1.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,9.8
Ben McLemore,87,88,16.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,10.9
Mike Muscala,88,89,24.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,7.0,12.3
Dirk Nowitzki,89,90,10.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,9.6
Devin Harris,90,91,13.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,7.0,8.9
Serge Ibaka,91,92,24.0,4.0,10.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,4.0,8.0,24.4
Chris Boucher,92,93,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,10.2
Russell Westbrook,93,94,37.0,4.0,22.0,1.0,2.0,0.0,9.0,8.0,6.0,0.0,5.0,9.0,44.8
Stanley Johnson,94,95,16.0,2.0,6.0,3.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,8.0,12.4
Jonah Bolden,95,96,26.0,3.0,9.0,1.0,2.0,2.0,6.0,1.0,0.0,0.0,2.0,8.0,17.1
Hamidou Diallo,96,97,9.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,8.1
Shaquille Harrison,97,98,13.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,8.1
Mohamed Bamba,98,99,13.0,2.0,7.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,4.0,16.2
Raymond Felton,99,100,11.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0
Maxi Kleber,100,101,28.0,1.0,5.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,1.0,3.0,14.9
Jonathan Isaac,101,102,32.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,8.7
Jimmy Butler,102,103,26.0,2.0,12.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,2.0,5.0,18.6
Nik Stauskas,104,105,13.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,5.2
Wade IV,105,106,10.0,1.0,4.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,7.2
Jonathon Simmons,106,107,8.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
Greg Monroe,107,108,18.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,14.4
Zach LaVine,108,109,32.0,3.0,17.0,7.0,7.0,0.0,3.0,2.0,0.0,0.0,1.0,13.0,18.6
Rodney McGruder,109,110,23.0,3.0,10.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,7.0,11.8
Bam Adebayo,110,111,17.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,6.8
Dwight Powell,111,112,14.0,2.0,7.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,7.4
Gorgui Dieng,112,113,10.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,4.4
Lorenzo Brown,113,114,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Norman Powell,114,115,22.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,9.4
