Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Lance Thomas,151,152,16.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.2
Devonte' Graham,152,153,18.0,2.0,8.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,6.0,12.7
Trey Lyles,153,154,10.0,2.0,6.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,9.4
Tyler Cavanaugh,154,155,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.2
Tim Jr.,155,156,27.0,2.0,11.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,6.0,16.1
Juan HernangÃ³mez,156,157,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.7
Jeremy Lamb,157,158,23.0,2.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,6.0,11.5
Ryan Broekhoff,158,159,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7
James Johnson,159,160,17.0,1.0,6.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,12.4
Isaiah Canaan,160,161,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.5
Joe Chealey,161,162,7.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.5
Damyean Dotson,162,163,20.0,2.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,8.9
Jaren Jr.,163,164,22.0,3.0,7.0,2.0,2.0,1.0,4.0,0.0,0.0,1.0,5.0,9.0,13.0
Jevon Carter,164,165,8.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5
Jae Crowder,165,166,24.0,2.0,7.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,9.7
Skal LabissiÃ¨re,167,168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Miles Bridges,168,169,21.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,9.1
Solomon Hill,169,170,18.0,1.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,7.4
Shelvin Mack,170,171,16.0,2.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.2
Davon Reed,171,172,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7
Ian Mahinmi,172,173,17.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,7.3
Ian Clark,173,174,20.0,2.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,8.2
Torrey Craig,174,175,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.7
Daniel Hamilton,175,176,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Naz Mitrou-Long,176,177,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Julian Washburn,177,178,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Antonio Blakeney,178,179,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Jr.,179,180,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7
Gary II,180,181,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2
Kyle O'Quinn,181,182,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4
Caleb Swanigan,182,183,6.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.2
Brandon Goodwin,183,184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Vince Carter,184,185,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabari Parker,185,186,14.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4
Darren Collison,186,187,24.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,9.4
Omari Spellman,188,189,24.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,6.2
JaMychal Green,189,190,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2
Salah Mejri,190,191,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Justin Holiday,191,192,23.0,0.0,10.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0,0.0,7.2
