Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Paul George,0,1,35.0,14.0,23.0,5.0,6.0,0.0,7.0,5.0,2.0,0.0,2.0,43.0,62.9
Nikola Jokic,1,2,31.0,12.0,15.0,6.0,6.0,4.0,9.0,9.0,1.0,0.0,2.0,31.0,61.1
Malik Beasley,2,3,41.0,12.0,17.0,6.0,7.0,0.0,2.0,3.0,1.0,0.0,2.0,35.0,42.9
Rudy Gobert,3,4,27.0,7.0,7.0,11.0,15.0,2.0,11.0,1.0,0.0,2.0,3.0,25.0,45.1
James Harden,4,5,37.0,9.0,21.0,5.0,9.0,2.0,4.0,9.0,2.0,1.0,5.0,30.0,54.7
Dennis Schr̦der,5,6,29.0,11.0,13.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,28.0,29.4
Torrey Craig,6,7,34.0,8.0,11.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,22.0,35.8
Trae Young,7,8,37.0,9.0,20.0,5.0,7.0,1.0,2.0,9.0,1.0,0.0,2.0,28.0,46.1
Ricky Rubio,8,9,35.0,6.0,11.0,8.0,10.0,0.0,2.0,11.0,1.0,0.0,2.0,22.0,41.9
Monte Morris,9,10,36.0,7.0,11.0,1.0,2.0,1.0,5.0,8.0,2.0,0.0,1.0,18.0,42.2
Derrick Favors,10,11,26.0,6.0,8.0,2.0,2.0,7.0,0.0,4.0,1.0,2.0,1.0,14.0,36.4
Russell Westbrook,11,12,31.0,6.0,10.0,2.0,5.0,1.0,11.0,14.0,1.0,1.0,4.0,14.0,51.4
Kenneth Faried,12,13,30.0,9.0,13.0,5.0,6.0,4.0,2.0,1.0,0.0,0.0,1.0,23.0,30.7
Chris Paul,13,14,29.0,8.0,13.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,20.0,31.6
Kyrie Irving,14,15,35.0,9.0,20.0,3.0,3.0,2.0,8.0,6.0,2.0,0.0,4.0,23.0,46.0
Joe Ingles,15,16,32.0,7.0,12.0,2.0,2.0,1.0,6.0,5.0,0.0,1.0,2.0,19.0,35.9
Shelvin Mack,16,17,35.0,8.0,15.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,2.0,19.0,37.7
Kelly Olynyk,17,18,30.0,8.0,12.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,3.0,21.0,32.4
Dewayne Dedmon,18,19,28.0,5.0,9.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,15.0,37.4
Marcus Morris,19,20,29.0,7.0,14.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,18.0,31.5
Al Horford,21,22,26.0,7.0,12.0,0.0,0.0,4.0,5.0,4.0,0.0,1.0,1.0,14.0,32.8
